T03,Population growth and indicators of fertility and mortality,,,,,
14,Eastern Africa,2025,Life expectancy at birth for males (years),63.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
14,Eastern Africa,2025,Life expectancy at birth for females (years),68.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2010,Population annual rate of increase (percent),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
17,Middle Africa,2010,Total fertility rate (children per women),6.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",116.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
17,Middle Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",632,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
17,Middle Africa,2010,Life expectancy at birth for both sexes (years),55.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2010,Life expectancy at birth for males (years),54.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2010,Life expectancy at birth for females (years),57.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2015,Population annual rate of increase (percent),3.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
17,Middle Africa,2015,Total fertility rate (children per women),6.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",96.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
17,Middle Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",573,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
17,Middle Africa,2015,Life expectancy at birth for both sexes (years),58.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2015,Life expectancy at birth for males (years),56.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2015,Life expectancy at birth for females (years),60.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2020,Population annual rate of increase (percent),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
17,Middle Africa,2020,Total fertility rate (children per women),5.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",81.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
17,Middle Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",539,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
17,Middle Africa,2020,Life expectancy at birth for both sexes (years),60.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2020,Life expectancy at birth for males (years),58.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2020,Life expectancy at birth for females (years),62.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2025,Population annual rate of increase (percent),3.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
17,Middle Africa,2025,Total fertility rate (children per women),5.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
17,Middle Africa,2025,"Under five mortality rate for both sexes (per 1,000 live births)",71.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
